Typ troficzny,Jezioro,pH,EC,DOC,HCO3-
MEZOTROFICZNE,Hańcza,7.9,248,4.1,157
MEZOTROFICZNE,Wigry,8.1,364,4.1,205
MEZOTROFICZNE,Busznica,7.9,210,3.3,150
MEZOTROFICZNE,Rozpuda,8,305,1.8,196
MEZOTROFICZNE,Piaszeczno,7.4,90,4.5,33
MEZOTROFICZNE,Rogoźno,7.6,245,7.1,134
MEZOTROFICZNE,Bialskie,8,315,6.1,167
MEZOTROFICZNE,Ciecz,7.8,402,3.6,242
MEZOTROFICZNE,Wdzydze S,8.1,213,,288
EUTROFICZNE,Necko,7.8,407,9.1,229
EUTROFICZNE,Pomorze,7.8,443,10.4,219
EUTROFICZNE,Ełckie,8,418,9.1,277
EUTROFICZNE,Selment Wlk.,7.9,472,11.2,239
EUTROFICZNE,Firlej,8.5,225,9.3,106
EUTROFICZNE,Kunów,8.5,307,19.4,142
EUTROFICZNE,Pereszpa,7.5,151,,166
EUTROFICZNE,Wspólne,7.9,287,,210
EUTROFICZNE,Łódzko-Dymacz.,7.9,648,10.2,310
EUTROFICZNE,Gopło,8.7,648,,
OLIGOTROFICZNE,Morskie Oko,6.8,31,0.8,7.8
OLIGOTROFICZNE,Czarny Staw,7.1,38,0.8,7.2
OLIGOTROFICZNE,Wielki Staw,6.6,22,1,3.6
OLIGOTROFICZNE,Czarny Staw Gąs.,6.5,24,0.6,3.7
OLIGOTROFICZNE,Długi Staw,5.6,18,0.2,0.5
OLIGOTROFICZNE,Zielony Staw,6.6,22,0.4,4.2
OLIGOTROFICZNE,Cechyńskie Wlk.,7.6,112,,30.5
OLIGOTROFICZNE,Jeleń,7,44,,12
OLIGOTROFICZNE,Modre,5.2,40,,7.2
OLIGOTROFICZNE,Pomysko,4.6,42,,1.2
OLIGOTROFICZNE,Obrowo Małe,6.5,43,,6
DYSTROFICZNE,Suchar II,5.4,53,8.9,17
DYSTROFICZNE,Suchar IV,4.4,33,17.3,13
